fiscalDateEnding,netIncome,operatingCashflow,capitalExpenditures,totalShareholderEquity
2024-12-31,100118000000,125299000000,52535000000,325084000000
2023-12-31,73795000000,101746000000,32251000000,283379000000
2022-12-31,59972000000,91495000000,31485000000,256144000000
2021-12-31,76033000000,91652000000,24640000000,251635000000
2020-12-31,40269000000,65124000000,22281000000,222544000000
2019-12-31,34343000000,54520000000,23548000000,201442000000
2018-12-31,30736000000,47971000000,25139000000,177628000000
2017-12-31,12662000000,37091000000,13184000000,152502000000
2016-12-31,19478000000,36036000000,10212000000,139036000000
2015-12-31,16348000000,26024000000,9915000000,120331000000
2014-12-31,14136000000,22376000000,10959000000,104500000000
2013-12-31,12733000000,18659000000,7358000000,87309000000
2012-12-31,10737000000,16619000000,3273000000,71715000000
2011-12-31,9737000000,14565000000,3438000000,58145000000
2010-12-31,8505000000,11081000000,4018000000,46241000000
2009-12-31,6520000000,9316198000,809888000,36004224000
2008-12-31,4227000000,7852857000,2358461000,28238862000
2007-12-31,4203720000,5775410000,2402840000,22689679000
2006-12-31,3077446000,3580508000,1902798000,17039840000
2005-12-31,1465397000,2459422000,838217000,9418957000
2024-06-30,852000000,3762000000,511000000,-3213000000
2023-06-30,261000000,2839000000,481000000,-2851000000
2022-06-30,-932000000,3122000000,387000000,-706000000
2021-06-30,611000000,2429000000,400000000,1794000000
2020-06-30,-3693000000,1960000000,375000000,1792000000
2019-06-30,1363000000,2722000000,328000000,6330000000
2018-06-30,256000000,2768000000,384000000,6059000000
2017-06-30,1288000000,1184000000,387000000,6808000000
2016-06-30,1427000000,2971000000,465000000,6554000000
2015-06-30,1215000000,2540000000,300000000,6256000000
2014-06-30,1166000000,2524000000,249000000,6401000000
2013-06-30,334000000,1727000000,195000000,5975000000
2012-06-30,1069000000,1176000000,263000000,6244000000
2011-06-30,959000000,1394600000,291300000,5848600000
2010-06-30,642200000,2134100000,255800000,5276100000
2009-06-30,1151600000,1567300000,533400000,8724700000
2008-06-30,1300600000,1512100000,376100000,7747500000
2007-06-30,1931100000,1223100000,357400000,7376900000
2006-06-30,1000100000,2140300000,443200000,8490700000
2005-06-30,1050700000,2850200000,571700000,8593000000
