fiscalDateEnding,netIncome,operatingCashflow,capitalExpenditures,totalShareholderEquity,,,,,,,,,,,,
12/31/2024,2993000000,4242000000,755000000,20634000000,,,,,,,,,,,,
12/31/2023,3165000000,3711000000,575000000,18593000000,,,Row Labels,Sum of netIncome,Sum of operatingCashflow,Sum of capitalExpenditures,Sum of totalShareholderEquity,,,,,
12/31/2022,2358000000,2624000000,588000000,16616000000,,,2008,,,,55159956000,,,,,
12/31/2021,1994000000,3263000000,525000000,14877000000,,,2009,9010287000,13904452000,1509903000,61569995000,,64728528000,67846928000,9716054000,3.17543E+11
12/31/2020,1599000000,3277000000,487000000,13084000000,,,2010,9631230000,13893686000,1521439000,73273535000,,48493852000,74854735000,10685520000,3.30052E+11
12/31/2019,2083000000,2191000000,649000000,12807000000,,,2011,12858065000,18598951000,3515679000,50327655000,,54271611000,88777451000,14122964000,3.04303E+11
12/31/2018,3553000000,2610000000,572000000,11730000000,,,2012,8308333000,19839297000,3937982000,48988715000,,53354933000,85916325000,14732612000,3.08483E+11
12/31/2017,1020000000,1559000000,598000000,9966000000,,,2013,13714300000,19985400000,7013200000,57771000000,,64965100000,81435400000,18304400000,3.2165E+11
12/31/2016,1647000000,1915000000,490000000,9550000000,,,2014,23562900000,35004100000,4555300000,67572300000,,68880400000,92501500000,19981200000,3.14728E+11
12/31/2015,1439000000,981000000,270000000,8511000000,,,2015,32420000000,43644200000,4680200000,74932600000,,68182400000,1.01231E+11,15637400000,3.13382E+11
12/31/2014,515000000,1782000000,233000000,8595000000,,,2016,30643500000,44210800000,5875700000,90900800000,,67697100000,1.03775E+11,17925700000,3.19724E+11
12/31/2013,1006000000,1886000000,195000000,9047000000,,,2017,17048700000,38585500000,5751200000,94347300000,,43726600000,1.03105E+11,17836000000,3.27183E+11
12/31/2012,1298000000,1657000000,210000000,8597000000,,,2018,19969500000,37992100000,6727900000,78921300000,,63581500000,1.09747E+11,20276500000,3.0404E+11
12/31/2011,1345000000,1434000000,226000000,7683000000,,,2019,30643100000,39631400000,7183100000,86768300000,,88076500000,1.12821E+11,21779000000,3.41246E+11
12/31/2010,1273000000,1547000000,182100000,7174000000,,,2020,15753700000,39548300000,5809300000,83362500000,,49640400000,1.23139E+11,22705600000,3.35236E+11
12/31/2009,1107000000,1461000000,131300000,6596000000,,,2021,24688700000,40760100000,6852900000,86050900000,,1.03247E+11,1.78735E+11,24895600000,3.80891E+11
12/31/2008,,,,5408000000,,,2022,23318300000,34814400000,7978100000,85260200000,,1.08845E+11,1.74554E+11,26095400000,4.08537E+11
12/31/2023,6717000000,8471000000,1112000000,6232000000,,,2023,24177100000,37861200000,8699900000,95557900000,,82897500000,1.2074E+11,29496500000,3.97136E+11
12/31/2022,6552000000,9721000000,936000000,3661000000,,,2024,4625200000,7117500000,1114800000,37350000000,,22038200000,63517400000,12569600000,1.65257E+11
12/31/2021,5893000000,9261000000,880000000,6700000000,,,Grand Total,3.00373E+11,4.85391E+11,82726603000,1.22811E+12,,,,,
12/31/2020,7264000000,10497000000,608000000,9409000000,,,,,,,,,,,,
12/31/2019,7842000000,9150000000,618000000,9673000000,,,,,,,,,,,,
12/31/2018,8394000000,11296000000,738000000,12500000000,,,,,,,,,,,,
12/31/2017,1979000000,11177000000,664000000,25241000000,,,,,,,,,,,,
12/31/2016,7722000000,10354000000,837000000,29875000000,,,,,,,,,,,,
12/31/2015,6939000000,9731000000,649000000,28083000000,,,,,,,,,,,,
12/31/2014,5158000000,8952000000,1003000000,25778000000,,,,,,,,,,,,
12/31/2013,5081000000,6291000000,693000000,22096000000,,,,,,,,,,,,
12/31/2012,4345000000,5882000000,689000000,19060000000,,,,,,,,,,,,
12/31/2011,3683000000,5119000000,567000000,19029000000,,,,,,,,,,,,
12/31/2010,4627000000,5787000000,580000000,23944000000,,,,,,,,,,,,
12/31/2009,4605000000,6336000000,530000000,22667000000,,,,,,,,,,,,
12/31/2008,,,,20885000000,,,,,,,,,,,,
12/31/2023,-388000000,930000000,284000000,3112000000,,,,,,,,,,,,
12/31/2022,197000000,-272000000,312000000,3519000000,,,,,,,,,,,,
12/31/2021,622000000,884000000,289000000,4158000000,,,,,,,,,,,,
12/31/2020,-766000000,1432000000,259000000,3874000000,,,,,,,,,,,,
12/31/2019,107000000,1044000000,265000000,4963000000,,,,,,,,,,,,
12/31/2018,-6942000000,680000000,384000000,5218400000,,,,,,,,,,,,
12/31/2017,2748800000,966200000,406200000,14144700000,,,,,,,,,,,,
12/31/2016,527800000,1840400000,441400000,11348800000,,,,,,,,,,,,
12/31/2015,350000000,592900000,211400000,1822900000,,,,,,,,,,,,
12/31/2014,377800000,634100000,161900000,1851400000,,,,,,,,,,,,
12/31/2013,474600000,605200000,138200000,2071500000,,,,,,,,,,,,
12/31/2012,401300000,618500000,177200000,1996700000,,,,,,,,,,,,
12/31/2011,125200000,561300000,222900000,1849100000,,,,,,,,,,,,
12/31/2010,292800000,582600000,164700000,1902000000,,,,,,,,,,,,
12/31/2009,,,,1778700000,,,,,,,,,,,,
12/31/2023,5242000000,9431000000,4744000000,-1774000000,,,,,,,,,,,,
12/31/2022,5643000000,8522000000,4395000000,-2767000000,,,,,,,,,,,,
12/31/2021,6956000000,8959000000,3577000000,-933000000,,,,,,,,,,,,
12/31/2020,3754000000,9232000000,2835000000,572000000,,,,,,,,,,,,
12/31/2019,3505000000,7602000000,4158000000,-2808000000,,,,,,,,,,,,
12/31/2018,3787000000,6761000000,3573000000,-4950000000,,,,,,,,,,,,
12/31/2017,2216000000,5426000000,3015000000,-6806000000,,,,,,,,,,,,
12/31/2016,2890000000,5653000000,2760000000,-7302000000,,,,,,,,,,,,
12/31/2015,2129000000,5231000000,2375000000,-7599000000,,,,,,,,,,,,
12/31/2014,1875000000,4448000000,2176000000,-7894000000,,,,,,,,,,,,
12/31/2013,1556000000,3680000000,1943000000,-8270000000,,,,,,,,,,,,
12/31/2012,1605000000,4175000000,1862000000,-9660000000,,,,,,,,,,,,
12/31/2011,2465000000,3933000000,1679000000,-8258000000,,,,,,,,,,,,
12/31/2010,,,,11926000000,,,,,,,,,,,,
