fiscalDateEnding,netIncome,operatingCashflow,capitalExpenditures,totalShareholderEquity,,,,,,
12/31/2023,4863000000,22839000000,777000000,10360000000,,,,,,
12/31/2022,11836000000,24943000000,695000000,17254000000,,Row Labels,Sum of netIncome,Sum of operatingCashflow,Sum of capitalExpenditures,Sum of totalShareholderEquity
12/31/2021,11542000000,22777000000,787000000,15408000000,,2012,,,,-350000000
12/31/2020,4616000000,17588000000,798000000,13076000000,,2013,4128000000,6267000000,491000000,4492000000
12/31/2019,7882000000,13324000000,552000000,-8172000000,,2014,1774000000,5765000000,612000000,21185000000
12/31/2018,5687000000,13427000000,638000000,-8446000000,,2015,7819000000,20349000000,1103000000,57175000000
12/31/2017,5309000000,9960000000,529000000,5097000000,,2016,9491000000,17958000000,1525000000,56699000000
12/31/2016,5953000000,12740000000,479000000,4636000000,,2017,9337000000,16840000000,1783000000,55305000000
12/31/2015,5144000000,15447000000,532000000,3945000000,,2018,8791000000,18111000000,1706000000,42274000000
12/31/2014,1774000000,5765000000,612000000,1742000000,,2019,12513000000,20331000000,1686000000,41919000000
12/31/2013,4128000000,6267000000,491000000,4492000000,,2020,9405000000,24822000000,2011000000,63813000000
12/31/2012,,,,-350000000,,2021,15148000000,29017000000,2142000000,66836000000
4/26/2024,3676000000,6787000000,1587000000,50214000000,,2022,16875000000,32289000000,2063000000,69805000000
4/28/2023,3758000000,6039000000,1459000000,51483000000,,2023,8621000000,28878000000,2236000000,61843000000
4/29/2022,5039000000,7346000000,1368000000,52551000000,,2024,3676000000,6787000000,1587000000,50214000000
4/30/2021,3606000000,6240000000,1355000000,51428000000,,Grand Total,1.07578E+11,2.27414E+11,18945000000,5.9121E+11
4/24/2020,4789000000,7234000000,1213000000,50737000000,,,,,,
4/26/2019,4631000000,7007000000,1134000000,50091000000,,,,,,
4/27/2018,3104000000,4684000000,1068000000,50720000000,,,,,,
4/28/2017,4028000000,6880000000,1254000000,50208000000,,,,,,
4/29/2016,3538000000,5218000000,1046000000,52063000000,,,,,,
4/24/2015,2675000000,4902000000,571000000,53230000000,,,,,,
4/25/2014,,,,19443000000,,,,,,
