CIK,Year,Net_Income,Stockholders Equity,Capital Expenditure,Free Cash Flow
27419.0,2021,4368000000.0,14440000000.0,-2649000000.0,7876000000.0
27419.0,2022,6946000000.0,12827000000.0,-3544000000.0,5081000000.0
27419.0,2023,2780000000.0,11232000000.0,-5528000000.0,-1510000000.0
27419.0,2024,4138000000.0,13432000000.0,-4806000000.0,3815000000.0
56873.0,2021,2585000000.0,14440000000.0,-2649000000.0,7876000000.0
56873.0,2022,1655000000.0,14440000000.0,-2649000000.0,7876000000.0
56873.0,2023,2244000000.0,14440000000.0,-2649000000.0,7876000000.0
56873.0,2024,2164000000.0,14440000000.0,-2649000000.0,7876000000.0
60667.0,2021,5835000000.0,9576000000.0,-2865000000.0,3950000000.0
60667.0,2022,8442000000.0,9576000000.0,-2865000000.0,3950000000.0
60667.0,2023,6437000000.0,9576000000.0,-2865000000.0,3950000000.0
60667.0,2024,7726000000.0,9576000000.0,-2865000000.0,3950000000.0
63908.0,2020,4730500000.0,1437000000.0,-1791000000.0,9258000000.0
63908.0,2021,7545200000.0,1437000000.0,-1791000000.0,9258000000.0
63908.0,2022,6177400000.0,1437000000.0,-1791000000.0,9258000000.0
63908.0,2023,8468800000.0,1437000000.0,-1791000000.0,9258000000.0
64803.0,2020,7179000000.0,-7824900000.0,-1640800000.0,4624400000.0
64803.0,2021,8001000000.0,-7824900000.0,-1640800000.0,4624400000.0
64803.0,2022,4311000000.0,-7824900000.0,-1640800000.0,4624400000.0
64803.0,2023,8344000000.0,-7824900000.0,-1640800000.0,4624400000.0
89800.0,2020,2030400000.0,69389000000.0,-2437000000.0,13428000000.0
89800.0,2021,1864400000.0,69389000000.0,-2437000000.0,13428000000.0
89800.0,2022,2020100000.0,69389000000.0,-2437000000.0,13428000000.0
89800.0,2023,2388800000.0,69389000000.0,-2437000000.0,13428000000.0
104169.0,2021,13510000000.0,3610800000.0,-303800000.0,3104800000.0
104169.0,2022,13673000000.0,3610800000.0,-303800000.0,3104800000.0
104169.0,2023,11680000000.0,3610800000.0,-303800000.0,3104800000.0
104169.0,2024,15511000000.0,3610800000.0,-303800000.0,3104800000.0
354950.0,2021,12866000000.0,80925000000.0,-10264000000.0,25810000000.0
354950.0,2022,16433000000.0,80925000000.0,-10264000000.0,25810000000.0
354950.0,2023,17105000000.0,80925000000.0,-10264000000.0,25810000000.0
354950.0,2024,15143000000.0,80925000000.0,-10264000000.0,25810000000.0
721371.0,2021,611000000.0,3299000000.0,-2463000000.0,16376000000.0
721371.0,2022,-938000000.0,3299000000.0,-2463000000.0,16376000000.0
721371.0,2023,330000000.0,3299000000.0,-2463000000.0,16376000000.0
721371.0,2024,852000000.0,3299000000.0,-2463000000.0,16376000000.0
764478.0,2021,1798000000.0,1791000000.0,-400000000.0,2029000000.0
764478.0,2022,2454000000.0,1791000000.0,-400000000.0,2029000000.0
764478.0,2023,1419000000.0,1791000000.0,-400000000.0,2029000000.0
764478.0,2024,1241000000.0,1791000000.0,-400000000.0,2029000000.0
794367.0,2021,-3944000000.0,4587000000.0,-713000000.0,4214000000.0
794367.0,2022,1430000000.0,4587000000.0,-713000000.0,4214000000.0
794367.0,2023,1177000000.0,4587000000.0,-713000000.0,4214000000.0
794367.0,2024,105000000.0,4587000000.0,-713000000.0,4214000000.0
909832.0,2021,5007000000.0,2553000000.0,-466000000.0,183000000.0
909832.0,2022,5844000000.0,2553000000.0,-466000000.0,183000000.0
909832.0,2023,6292000000.0,2553000000.0,-466000000.0,183000000.0
909832.0,2024,7367000000.0,2553000000.0,-466000000.0,183000000.0
927653.0,2021,-4539000000.0,17564000000.0,-3588000000.0,5370000000.0
927653.0,2022,1114000000.0,17564000000.0,-3588000000.0,5370000000.0
927653.0,2023,3560000000.0,17564000000.0,-3588000000.0,5370000000.0
927653.0,2024,3002000000.0,17564000000.0,-3588000000.0,5370000000.0
1018724.0,2020,21331000000.0,-21000000.0,-641000000.0,3901000000.0
1018724.0,2021,33364000000.0,-21000000.0,-641000000.0,3901000000.0
1018724.0,2022,-2722000000.0,-21000000.0,-641000000.0,3901000000.0
1018724.0,2023,30425000000.0,-21000000.0,-641000000.0,3901000000.0
1140859.0,2021,1539932000.0,93404000000.0,-40140000000.0,25924000000.0
1140859.0,2022,1698820000.0,93404000000.0,-40140000000.0,25924000000.0
1140859.0,2023,1745293000.0,93404000000.0,-40140000000.0,25924000000.0
1140859.0,2024,1509120000.0,93404000000.0,-40140000000.0,25924000000.0
1618921.0,2021,2542000000.0,223354000.0,-438217000.0,2228369000.0
1618921.0,2022,4337000000.0,223354000.0,-438217000.0,2228369000.0
1618921.0,2023,-3080000000.0,223354000.0,-438217000.0,2228369000.0
1618921.0,2024,-8636000000.0,223354000.0,-438217000.0,2228369000.0
